OTU	SRR10488720	SRR10488721	SRR10488722	SRR10488723	SRR10488724	SRR10488725	SRR10488726	SRR10488727	SRR10488728	SRR10488729	SRR10488730	SRR10488731	SRR10488732	SRR10488733	SRR10488734	SRR10488735	SRR10488736	SRR10488737	SRR10488738	SRR10488739	SRR10488740	SRR10488741	SRR10488742	SRR10488743	SRR10488744	SRR10488745	SRR10488746	SRR10488747	SRR10488748	SRR10488749	SRR10488750	SRR10488751	SRR10488752	SRR10488753	SRR10488754	SRR10488755	SRR10488756	SRR10488757	SRR10488758	SRR10488759	SRR10488760	SRR10488761	SRR10488762	SRR10488763	SRR10488764	SRR10488765	SRR10488766	SRR10488767	SRR10488768	SRR10488769	SRR10488770	SRR10488771	SRR10488772	SRR10488773	SRR10488774	SRR10488775	SRR10488776	SRR10488777	SRR10488778	SRR10488779	SRR10488780	SRR10488781	SRR10488782	SRR10488783	SRR10488784	SRR10488785	SRR10488786	SRR8589830	SRR8589831	SRR8589832	SRR8589833	SRR8589834	SRR8589835	SRR8589836	SRR8589837	SRR8589838	SRR8589839	SRR8589857	SRR8589858	SRR8589859	SRR8589860	SRR8589861	SRR8589862	SRR8589863	SRR8589864	SRR8589865	SRR8589866	SRR8589867	SRR8589868	SRR8589869	SRR8589870	SRR8589871	SRR8589872	SRR8589873	SRR8589874
OTU_1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	5	0	0	0	0	0	3	9	0	0	1	20	0	0	2	2	10	36	0
OTU_1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1039	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_104	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178	0	0	0	1093	0	264	0	0	0	0	3	5	0	483	0	0	1	0	1	0	0
OTU_1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1041	0	0	0	0	18	30	0	4	42	9	5	0	3	1	2	0	9	0	0	46	0	0	0	1	0	0	0	0	0	3	0	0	0	0	3	17	4	0	0	0	3	29	47	0	0	45	0	0	0	0	15	1	0	52	0	0	0	0	43	1	0	0	20	37	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1042	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1043	2	0	0	0	0	0	4	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	86	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1044	0	5	0	1	0	0	0	0	0	16	0	0	17	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1045	0	0	14	0	0	9	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	11	4	0	8	0	0	1	0	29	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
