"X","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_730","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Frankiales"," Nakamurellaceae"," Nakamurella","Unclassified_Nakamurella"
"OTU_731","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"OTU_732","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," KI89A clade","Unclassified_KI89A clade","Unclassified_KI89A clade"
"OTU_733","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_734","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Acidobacteria superphylum"," Acidobacteriota"," Thermoanaerobaculia"," Thermoanaerobaculales"," Thermoanaerobaculaceae"," Subgroup 10","Unclassified_Subgroup 10"
"OTU_735","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_736","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Puniceispirillales"," SAR116 clade","Unclassified_SAR116 clade","Unclassified_SAR116 clade"
"OTU_737","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Deinococcota"," Deinococci"," Deinococcales"," Deinococcaceae"," Deinococcus","Unclassified_Deinococcus"
"OTU_738","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales"," Methyloligellaceae","Unclassified_Methyloligellaceae","Unclassified_Methyloligellaceae"
"OTU_739","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Enterobacterales"," Shewanellaceae"," Shewanella","Unclassified_Shewanella"
"OTU_740","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Gemmatimonadota"," Gemmatimonadetes"," Gemmatimonadales"," Gemmatimonadaceae"," Gemmatirosa","Unclassified_Gemmatirosa"
"OTU_741","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Desulfobacterota"," Syntrophobacteria"," Syntrophobacterales"," Syntrophobacteraceae"," Desulfacinum","Unclassified_Desulfacinum"
"OTU_742","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae","Unclassified_Sphingomonadaceae","Unclassified_Sphingomonadaceae"
"OTU_743","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Polyangia"," Polyangiales"," Sandaracinaceae","Unclassified_Sandaracinaceae","Unclassified_Sandaracinaceae"
"OTU_744","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Burkholderiaceae"," Limnobacter","Unclassified_Limnobacter"
"OTU_745","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Verrucomicrobiae"," Opitutales"," Puniceicoccaceae"," MB11C04 marine group","Unclassified_MB11C04 marine group"
