Name,SeqName,Depth,Core,qPCR_bac,qPCR_arch,qPCR_proka,qPCR_NA,OxygenDepth,Fe_abundant,Location
Blank_S2,Blank_S2,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB06_blnk_70,CB06_blnk_70,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_66,CB08_blnk_66,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_67,CB08_blnk_67,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_68,CB08_blnk_68,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB10_blnk_86,CB10_blnk_86,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_20,CB11_blnk_20,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_46,CB11_blnk_46,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_94,CB14_blnk_94,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_95,CB14_blnk_95,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_96,CB14_blnk_96,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_21,CB15_blnk_21,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_22,CB15_blnk_22,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_81,CB15_blnk_81,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_82,CB15_blnk_82,B,B,NA,NA,NA,TRUE,nan,nan,nan
GS14_GC12_190,GS14_GC12_85,190,7,139390850,407753.515625,139798603.515625,FALSE,36,Yes,AMOR
GS14_GC12_220,GS14_GC12_86,220,7,100996056.25,398872.802734375,101394929.052734,FALSE,36,Yes,AMOR
GS14_GC12_250,GS14_GC12_87,250,7,1100056.0546875,126201.953125,1226258.0078125,FALSE,36,Yes,AMOR
GS14_GC12_280,GS14_GC12_88,280,7,245246600,186387.805175781,245432987.805176,FALSE,36,Yes,AMOR
GS14_GC12_310,GS14_GC12_89,310,7,372298625,59160.3759765625,372357785.375977,FALSE,36,Yes,AMOR
GS14_GC12_340,GS14_GC12_90,340,7,73535025,642509.27734375,74177534.2773438,FALSE,36,Yes,AMOR
GS14_GC12_357,GS14_GC12_91,357,7,45380975,12211.1351013184,45393186.1351013,FALSE,36,Yes,AMOR
GS14_GC14_1,GS14_GC14_04,1,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_7,GS14_GC14_05,7,20,NA,NA,NA,TRUE,nan,No,AMOR
NA1,GS14_GC14_06,NA,20,NA,NA,NA,TRUE,nan,No,AMOR
NA3,GS14_GC14_07,NA,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_20,GS14_GC14_08,20,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_50,GS14_GC14_10,50,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_100,GS14_GC14_11,100,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_200,GS14_GC14_13,200,20,NA,NA,NA,TRUE,nan,No,AMOR
NA2,GS14_GC14_14,NA,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_30,GS14_GC14_19,30,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_60,GS14_GC14_20,60,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_90,GS14_GC14_21,90,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_120,GS14_GC14_22,120,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_150,GS14_GC14_23,150,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_180,GS14_GC14_24,180,20,NA,NA,NA,TRUE,nan,No,AMOR
GS14_GC14_199,GS14_GC14_25,199,20,NA,NA,NA,TRUE,nan,No,AMOR
GS15_GC01_5,GS15_GC01_01,5,8,2628504.87385321,10047625.5324377,12676130.4062909,FALSE,85,No,AMOR
