"X","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","X.1"
"OTU_95","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Brocadiae"," Brocadiales"," Scalinduaceae"," Candidatus Scalindua","Unclassified_Candidatus Scalindua",""
"OTU_96","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia",""
"OTU_97","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_98","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," Methylomirabilota"," Methylomirabilia"," Methylomirabilales"," Methylomirabilaceae"," wb1-A12","Unclassified_wb1-A12",""
"OTU_99","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Ignavibacteria"," Ignavibacteriales"," Ignavibacteriaceae"," Ignavibacterium","Unclassified_Ignavibacterium",""
"OTU_100","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Rhodothermia"," Rhodothermales"," Rhodothermaceae","Unclassified_Rhodothermaceae","Unclassified_Rhodothermaceae",""
"OTU_101","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales",""
"OTU_102","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Gemmatimonadota"," BD2-11 terrestrial group","Unclassified_BD2-11 terrestrial group","Unclassified_BD2-11 terrestrial group","Unclassified_BD2-11 terrestrial group","Unclassified_BD2-11 terrestrial group",""
"OTU_103","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Hydrogenedentes superphylum"," Hydrogenedentes"," Hydrogenedentia"," Hydrogenedentiales"," Hydrogenedensaceae","Unclassified_Hydrogenedensaceae","Unclassified_Hydrogenedensaceae",""
"OTU_104","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Thaumarchaeota"," Nitrososphaeria"," Nitrosopumilales"," Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae",""
