"","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_3656","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Sutterellaceae"," AAP99","Unclassified_AAP99"
"OTU_3657","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Gracilibacteria phylum incertae sedis"," Gracilibacteria"," Absconditabacteriales (SR1)","Unclassified_Absconditabacteriales (SR1)","Unclassified_Absconditabacteriales (SR1)","Unclassified_Absconditabacteriales (SR1)"
"OTU_3658","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Actinomycetales"," Actinomycetaceae"," Actinotignum","Unclassified_Actinotignum"
"OTU_3659","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111"
"OTU_366","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Bacteroidales"," Bacteroidetes vadinHA17","Unclassified_Bacteroidetes vadinHA17","Unclassified_Bacteroidetes vadinHA17"
"OTU_3660","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Rhodothermia"," Rhodothermales"," Rhodothermaceae"," Rubrivirga","Unclassified_Rubrivirga"
"OTU_3661","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Acidimicrobiia"," Microtrichales"," Ilumatobacteraceae","Unclassified_Ilumatobacteraceae","Unclassified_Ilumatobacteraceae"
"OTU_3662","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Caulobacterales"," Caulobacteraceae"," Phenylobacterium","Unclassified_Phenylobacterium"
"OTU_3663","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria"," Candidatus Azambacteria","Unclassified_Candidatus Azambacteria","Unclassified_Candidatus Azambacteria","Unclassified_Candidatus Azambacteria","Unclassified_Candidatus Azambacteria"
"OTU_3664","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190"
"OTU_3665","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Cytophagales"," Cyclobacteriaceae"," Fulvivirga","Unclassified_Fulvivirga"
"OTU_3666","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Propionibacteriales"," Propionibacteriaceae"," Friedmanniella","Unclassified_Friedmanniella"
"OTU_3667","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria"
"OTU_3668","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Myxococcia"," Myxococcales"," Myxococcaceae"," P3OB-42","Unclassified_P3OB-42"
