"","IODP336_U1384A_3550","IODP336_U1384A_3120","IODP336_U1384A_5450","IODP336_U1384A_1240","IODP336_U1384A_650","IODP336_U1384A_420","IODP336_U1384A_250","IODP336_U1384A_2830","IODP336_U1384A_2520","IODP336_U1384A_2120","IODP336_U1384A_1680","IODP336_U1384A_6450","IODP336_U1384A_6930","IODP336_U1384A_6000","IODP336_U1384A_3880","IODP336_U1384A_4040","IODP336_U1384A_4680","IODP336_U1384A_8690","IODP336_U1384A_5100","IODP336_U1383E_3050","IODP336_U1383E_3370","IODP336_U1383E_2750","IODP336_U1383E_2900","IODP336_U1383E_4250","IODP336_U1383E_4680","IODP336_U1383E_3670","IODP336_U1383E_3970","IODP336_U1383E_4800","IODP336_U1384A_100","IODP336_U1384A_7440","IODP336_U1384A_7730","IODP336_U1384A_8390","IODP336_U1384A_9150","IODP336_U1383E_500","IODP336_U1383E_790","IODP336_U1383E_50","IODP336_U1383E_350","IODP336_U1383E_2040","IODP336_U1383E_2300","IODP336_U1383E_1090","IODP336_U1383E_1550","IODP336_U1383E_2450","IODP336_U1383E_2600"
"OTU_1098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,28,0
"OTU_1099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,23,0
"OTU_11",6,69,1,0,1045,473,131,11,0,0,416,0,0,0,0,0,800,0,0,0,129,1,524,29,0,5,0,121,36,0,0,0,0,1341,1625,438,2380,23,1400,2837,46,929,2
"OTU_110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,628,76,134,62,234,109,97,236,0,0,0,0,0,0,7,0,10,7,6,123,7,41,17
"OTU_1100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0
"OTU_1101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,27,0,0,50,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"OTU_1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,28,0,0,0,0,1,0,0
"OTU_1104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"OTU_1105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0
"OTU_1106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,29,0,89,2,1,12,0,0,0,0
